12 documents , 1 concepts , 186 context features (69419) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -430, end 364, times 7, dT 100, I 1000


map[]

===============  per type  ===============
4.3575772718907466e-18   T=2,K=10:  61925 (0.359) ; 96853 (0.271) ; 68335 (0.195) ; 10056 (0.080) ; 7793 (0.026) ; 72268 (0.013) ; 8909 (0.011) ; 103957 (0.009) ; 74523 (0.005) ; 13715 (0.005) ; 
5.888293940382028e-19   T=3,K=10:  61925 (0.330) ; 68335 (0.317) ; 96853 (0.207) ; 10056 (0.057) ; 7793 (0.026) ; 72268 (0.014) ; 8909 (0.008) ; 13715 (0.008) ; 103957 (0.007) ; 70495 (0.004) ; 
4.1492303365601356e-19   T=4,K=10:  61925 (0.410) ; 68335 (0.198) ; 96853 (0.195) ; 10056 (0.080) ; 7793 (0.037) ; 72268 (0.029) ; 103957 (0.013) ; 13715 (0.009) ; 67762 (0.004) ; 8909 (0.004) ; 
1.072231966347114e-18   T=5,K=10:  61925 (0.512) ; 96853 (0.158) ; 68335 (0.152) ; 10056 (0.088) ; 7793 (0.026) ; 72268 (0.023) ; 13715 (0.008) ; 103957 (0.007) ; 70495 (0.005) ; 8909 (0.003) ; 
1.3195228158459428e-19   T=6,K=10:  61925 (0.452) ; 68335 (0.226) ; 96853 (0.121) ; 10056 (0.108) ; 72268 (0.034) ; 7793 (0.021) ; 13715 (0.008) ; 103957 (0.006) ; 8909 (0.004) ; 70495 (0.003) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=10:  61925 (0.386) ; 68335 (0.213) ; 96853 (0.200) ; 10056 (0.102) ; 7793 (0.025) ; 72268 (0.021) ; 103957 (0.010) ; 8909 (0.007) ; 13715 (0.007) ; 70495 (0.005) ; 

9.858970106208151e-07   T=0,K=11:  22425 (0.522) ; 28569 (0.179) ; 34522 (0.161) ; 2731 (0.062) ; 45996 (0.031) ; 61056 (0.015) ; 51661 (0.007) ; 13317 (0.006) ; 16052 (0.004) ; 106502 (0.003) ; 
5.124392808882395e-08   T=1,K=11:  22425 (0.358) ; 34522 (0.279) ; 28569 (0.221) ; 2731 (0.048) ; 45996 (0.033) ; 51661 (0.016) ; 61056 (0.011) ; 13317 (0.010) ; 16052 (0.006) ; 83174 (0.004) ; 
2.4936920837767156e-07   T=2,K=11:  34522 (0.370) ; 22425 (0.325) ; 28569 (0.161) ; 2731 (0.054) ; 45996 (0.036) ; 51661 (0.013) ; 61056 (0.010) ; 13317 (0.009) ; 16052 (0.008) ; 83174 (0.003) ; 
5.005387537599216e-08   T=3,K=11:  34522 (0.311) ; 22425 (0.274) ; 28569 (0.222) ; 2731 (0.069) ; 45996 (0.056) ; 61056 (0.020) ; 16052 (0.011) ; 51661 (0.011) ; 13317 (0.009) ; 83174 (0.003) ; 
1.3987469318662297e-08   T=4,K=11:  34522 (0.360) ; 22425 (0.245) ; 28569 (0.216) ; 45996 (0.062) ; 2731 (0.052) ; 61056 (0.021) ; 51661 (0.012) ; 16052 (0.010) ; 13317 (0.006) ; 83174 (0.003) ; 
