2299 documents , 1 concepts , 4352 context features (86219) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 1000


map[]

===============  per type  ===============
0.14553965809206065   T=5,K=6:  22209 (0.023) ; 27847 (0.014) ; 26447 (0.014) ; 20621 (0.013) ; 45996 (0.012) ; 70958 (0.010) ; 84494 (0.010) ; 85306 (0.009) ; 110243 (0.009) ; 28566 (0.008) ; 
0.1768023119377713   T=6,K=6:  27847 (0.018) ; 22209 (0.014) ; 85306 (0.013) ; 84494 (0.011) ; 70958 (0.011) ; 110243 (0.010) ; 45996 (0.009) ; 26447 (0.009) ; 20621 (0.008) ; 84234 (0.008) ; 
0.12499183643783435   T=7,K=6:  22209 (0.018) ; 27847 (0.018) ; 84494 (0.013) ; 26447 (0.012) ; 85306 (0.012) ; 45996 (0.010) ; 110243 (0.010) ; 114624 (0.009) ; 84234 (0.009) ; 70958 (0.009) ; 
0.06496176899376027   T=8,K=6:  22209 (0.021) ; 85306 (0.017) ; 27847 (0.010) ; 84494 (0.010) ; 20097 (0.009) ; 31161 (0.008) ; nlsj34252 (0.008) ; 110243 (0.008) ; 52035 (0.008) ; 114624 (0.007) ; 
0.04365604151415355   T=9,K=6:  22209 (0.019) ; 31161 (0.014) ; 85306 (0.014) ; 20097 (0.009) ; 84234 (0.009) ; 52035 (0.008) ; 104225 (0.008) ; 70958 (0.008) ; 114624 (0.008) ; nlsj107632 (0.007) ; 
0.044300657887986206   T=10,K=6:  22209 (0.031) ; 31161 (0.015) ; 45996 (0.011) ; 114624 (0.011) ; 84234 (0.009) ; 52035 (0.009) ; 85306 (0.009) ; 70958 (0.008) ; 104225 (0.007) ; nlsj107632 (0.007) ; 
0.02957106807447942   T=11,K=6:  22209 (0.044) ; 31161 (0.016) ; 84234 (0.014) ; 70958 (0.012) ; 85306 (0.012) ; 1564 (0.009) ; 722 (0.008) ; 114624 (0.008) ; 51849 (0.008) ; 45996 (0.007) ; 
0.04405403444696959   T=12,K=6:  22209 (0.022) ; 114624 (0.019) ; 31161 (0.017) ; 104225 (0.014) ; 51849 (0.013) ; 84234 (0.013) ; 45996 (0.012) ; 1564 (0.012) ; 70958 (0.010) ; 98354 (0.009) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=6:  22209 (0.022) ; 85306 (0.015) ; 20621 (0.011) ; 45996 (0.010) ; 27847 (0.009) ; 104225 (0.008) ; 31161 (0.008) ; 114624 (0.008) ; 26886 (0.008) ; 84494 (0.007) ; 

0.13171787062355905   T=0,K=7:  116416 (0.019) ; 62204 (0.018) ; 85306 (0.018) ; 19789 (0.017) ; 11583 (0.016) ; 60308 (0.014) ; 22209 (0.010) ; 110639 (0.010) ; 50824 (0.010) ; 63845 (0.010) ; 
0.16422248782708468   T=1,K=7:  62204 (0.020) ; 116416 (0.020) ; 45996 (0.016) ; 60308 (0.015) ; 110639 (0.015) ; 22209 (0.013) ; 86184 (0.011) ; 85306 (0.011) ; 104421 (0.010) ; 19789 (0.009) ; 
